1.109e+05,1.2391e+05,1.1133e+05,1.1453e+05,1.1336e+05,1.2281e+05,1.2643e+05,1.2397e+05,1.2473e+05,1.0846e+05,1.0774e+05,1.3002e+05,1.2106e+05,1.0838e+05,1.1183e+05,1.0396e+05,1.0916e+05,1.1315e+05,1.1463e+05,1.1685e+05,1.0414e+05,1.0557e+05,1.029e+05,1.1363e+05,1.172e+05,1.1871e+05,1.0848e+05,1.1452e+05,1.1791e+05,1.1533e+05,1.1321e+05,1.1212e+05,1.171e+05,1.1936e+05,1.1421e+05,1.0951e+05,1.1561e+05,1.1351e+05,1.1124e+05,1.0944e+05,1.1694e+05,1.1514e+05,1.0918e+05,1.0882e+05,95572,1.1112e+05,1.0829e+05,1.0543e+05,1.0015e+05,1.074e+05,1.0557e+05,1.005e+05,1.049e+05,1.0531e+05,97563,1.0526e+05,1.0796e+05,94989,1.1112e+05,98332,99398,98018,1.0203e+05,1.0964e+05,1.0149e+05,1.037e+05,1.009e+05,96949,1.044e+05,1.0013e+05,99301,97083,99092,98245,95890,84589,1.0019e+05,93986,82609,86832,84387,94669,94037,93703,95931,96850,88886,87009,97779,96526,93196,86382,87944,97637,95940,1.0028e+05,94087,88637,99757,97288,97248,90761,91344,92574,83582,90283,91331,99249,82539,91293,79377,90260,92542,86700,86003,81884,90267,89361,85581,93138,92759,91773,86701,87134,75588,92569,82065,78907,86151,81822,87450,87928,77198,91166,78858,93284,78314,79919,81443,90609,72198,85809,71963,82586,89013,74575,86283,80834,80990,84157
50128,54222,45748,49146,49426,43293,52862,49957,51193,50903,60092,57257,68060,62744,70973,76277,73676,69176,70149,63439,58073,65506,74160,68004,67016,65229,62179,57471,64448,66157,57131,62445,60209,66238,61807,60731,60901,62358,61871,56222,60603,55535,57666,66860,57686,60206,63451,64662,56601,63993,51782,55557,57581,63061,57756,50226,57743,60432,52944,56301,56693,64634,60966,64934,56065,62796,55830,55973,56443,50369,57128,53425,57437,50119,52035,55471,53655,56091,49550,56386,54620,57970,56022,59834,55842,53750,53845,56510,50422,51241,58594,58682,51179,55498,56387,54781,58955,57760,50499,57530,51521,59806,59303,59381,58072,53240,60094,53057,57075,58776,62583,50203,55850,57700,59616,59344,57919,54107,58119,53468,55668,59619,58346,57377,62181,61172,57518,52112,51272,55570,60035,57806,60350,62047,52166,55573,58504,65081,63247,59302,55915,62551,51820,57879,51464,57172,56621,59828,51167,60506
43959,39584,45518,48386,42654,43397,45605,49057,61469,68718,80418,98221,1.19e+05,1.3005e+05,1.2678e+05,1.3112e+05,1.2998e+05,1.3002e+05,1.3229e+05,1.3041e+05,1.2831e+05,1.2853e+05,1.2938e+05,1.3365e+05,1.3071e+05,1.2863e+05,1.3445e+05,1.2831e+05,1.2421e+05,1.2557e+05,1.2431e+05,1.2155e+05,1.1781e+05,1.2331e+05,1.277e+05,1.2073e+05,1.2368e+05,1.2394e+05,1.2102e+05,1.1949e+05,1.2802e+05,1.2619e+05,1.1454e+05,1.2144e+05,1.1905e+05,1.1696e+05,1.1918e+05,1.155e+05,1.2088e+05,1.1618e+05,1.1751e+05,1.1873e+05,1.1207e+05,1.0753e+05,1.2132e+05,1.0958e+05,1.1962e+05,1.0892e+05,1.0733e+05,1.1338e+05,1.0632e+05,1.0562e+05,1.0696e+05,1.0211e+05,1.0572e+05,1.0686e+05,1.0172e+05,1.0702e+05,1.0273e+05,1.0228e+05,1.0583e+05,1.0366e+05,1.0458e+05,97561,1.0202e+05,1.024e+05,99805,96897,1.0431e+05,1e+05,95932,88008,1.0404e+05,89800,96466,96935,89450,83651,95149,89883,86492,88322,93310,91796,90308,88030,93563,91831,83523,91101,81522,86987,92019,83120,89526,77672,83539,77303,78692,85925,85042,88451,83187,87175,87650,79594,76608,86159,79313,72597,83345,82533,83655,72274,67432,81241,80036,81004,77579,76814,71451,77486,77131,75917,73909,75826,79836,82977,75895,76378,67433,68075,74577,68280,75353,66598,73207,76278,73181,69062
26754,30336,27853,31486,27289,26723,27234,29729,27013,30200,31208,31091,26169,30520,33184,36693,36280,37466,37218,45610,49866,47411,51195,47436,55791,47988,39613,44738,46235,40289,32275,45304,45966,53057,34598,40287,46382,46662,43311,41233,34509,39548,40573,40531,51475,34711,46705,40098,43624,40374,42386,38623,45503,37661,40264,38562,36598,33713,38868,35912,35931,34101,37288,37033,39012,39618,30539,35420,31936,34973,44868,35049,37616,36174,32052,35501,30303,34833,28861,30477,36741,33080,37225,34195,34008,29467,31791,32585,33121,37743,39173,36688,29006,30716,27014,30405,35868,44055,35519,31645,36825,34838,37528,32439,34570,34400,34820,33654,35505,36858,35909,28219,29842,33761,31787,30449,25055,33449,33348,34570,45657,34496,31813,31367,32826,31691,32115,33699,31471,33138,39003,30268,27194,33533,34729,33565,29498,34075,36353,29863,31611,31555,30865,35402,41685,34022,34805,30960,31213,31827
28426,27317,26729,28268,30341,28352,30965,29022,29782,27657,29316,31682,26695,31157,36762,37953,37387,39675,42797,43412,44305,42134,43307,41754,42452,41763,38814,41181,41094,44388,39734,44288,41396,44557,45627,42652,41203,42562,41770,40150,40926,40125,39287,39320,35290,40332,36389,38486,39192,37670,36289,39089,38891,38910,39101,34543,36902,33192,40072,36550,34995,34317,37843,34429,35725,38627,39469,34718,41448,30886,33954,34059,40062,35621,37140,36952,39287,32127,30855,36331,31704,38115,36570,37427,30749,36485,36341,32530,35235,40810,34301,32768,32584,36584,32772,30188,36169,33415,32368,34996,33490,35117,37117,33649,31605,31661,35448,33087,30567,31725,29346,31495,36440,33140,31134,35799,31074,31943,27768,35602,28764,35344,34351,33290,36551,28680,33249,28607,28721,34354,31517,35387,29005,35458,33102,34341,33161,31255,29266,30428,31585,26935,32862,32345,35426,34017,31434,31681,31198,30800
28027,24889,24190,26042,30838,27955,29236,25579,27161,26790,26317,27800,25118,28707,25800,24860,25755,29350,26905,28181,30215,29473,27513,24293,28084,29898,29352,26196,30445,27577,29832,29096,30436,25538,32026,27866,27465,30193,26006,28293,27923,26082,28635,27159,28337,28078,20461,28675,25001,28607,28688,28552,27293,27659,27530,31068,29878,28937,26481,23880,28696,24268,31205,25243,27381,28649,25651,26541,26123,26898,26893,29586,30086,31697,31109,25309,26772,27311,30295,27351,26502,25625,31692,26036,26109,28820,23991,27667,24745,28239,26735,29768,26731,29440,28673,27406,29042,25274,29431,27319,30820,25946,27466,28911,25548,27525,27606,29609,29758,25352,24813,29400,28195,25654,28648,28486,27430,25954,27419,25283,27985,27473,26054,27493,26370,26955,29381,28093,28914,25514,26233,23891,26717,27660,26341,27867,25794,25060,26736,25018,27899,27683,26691,27323,29094,27278,24770,26184,26773,26623
27752,28335,28895,29537,28603,28146,26354,25163,28718,29161,28367,29310,28472,31221,33552,39120,36949,36906,40985,40886,42485,40226,41071,42314,41119,44289,38029,41769,38615,40468,38130,42666,36605,40287,33869,37239,36791,35928,40336,43783,34929,38543,37243,36519,39435,33264,33074,36259,34682,32345,36568,35956,35382,35683,29455,36239,34717,33056,32189,34434,34776,39055,35249,35365,31162,32701,34809,31905,33639,37462,35107,32142,36846,32415,31987,35941,32629,32198,33683,36513,36997,34528,30755,32350,32775,31076,34411,31789,32275,33534,29083,32233,31912,34626,32687,34800,34316,33158,32873,30668,36731,31295,27857,32432,30521,33274,29431,32714,31565,32974,29149,35289,31506,34211,29217,33139,32465,30677,35080,33442,32492,30805,31812,31713,37930,33683,33933,34581,30087,29762,31324,32640,32158,30253,31357,31363,31132,29864,31075,32607,29942,36869,31319,37353,29907,30707,30658,31698,34420,28978
30134,28727,29965,26652,31092,31935,30109,28923,28635,33900,31895,29577,32036,31277,34140,30475,35726,36809,38977,50093,54446,57575,54731,51814,55827,48534,53741,54041,50038,49407,49433,44638,42155,47075,49069,46323,44863,40266,45020,48575,39349,46157,46079,43487,42950,43754,43941,53483,42632,43100,46165,41940,39455,41040,41049,39465,41950,40975,42486,40318,41339,39760,37484,39623,37285,39093,39455,37109,38850,38757,37611,39256,45304,39227,38147,36214,39045,35554,37685,39600,36655,38602,36862,36520,38215,36064,36029,36445,36086,34108,35147,35533,36855,35231,36463,37805,34773,36165,35212,31747,38171,34536,34715,39469,37863,36544,36909,35925,34680,34926,27869,33768,34745,32225,37082,36373,32118,33492,35527,36163,34856,35097,30504,35745,31182,33504,31480,32206,34492,34177,33217,31661,33369,30017,34863,32890,33148,31054,31578,36822,34833,32141,28994,35267,31206,33952,31014,32839,33663,32484
29728,29733,28662,30666,30432,30231,31229,27534,31944,31523,29412,30149,35214,34324,36161,35549,34838,35559,37393,36739,35523,38023,36282,35656,37080,35259,38461,38555,37302,35819,38658,33807,38182,37003,36208,37766,37481,37570,38445,31706,35192,36228,38648,38152,34498,35936,37456,36865,34074,35693,36256,35825,34576,35252,38560,39242,36221,33739,35333,32842,33612,31442,30402,34902,34523,32956,35255,35273,34943,32373,36364,33493,31300,33535,37372,34603,33505,32912,32648,33616,35117,34215,34276,30231,32399,34147,35078,33454,35828,33272,34801,34060,36458,32360,33026,31558,33750,34230,34906,33211,32684,32639,33359,34176,34935,34125,35102,31791,32972,33261,36469,33360,34939,31362,31835,33930,31560,35376,33132,31985,29375,33532,32579,28081,31045,28853,33962,31697,32834,36251,32339,28396,30975,33725,33265,31733,33559,33079,32690,29173,34452,32022,35171,30336,33069,32643,31645,32419,31794,32886
32314,29953,28671,30993,31778,30601,32312,27919,29375,31808,31323,32615,31380,33224,35628,36734,38393,40419,40656,40623,40849,42096,42017,42282,42079,41351,43050,42429,41638,41653,39565,43084,40957,41053,41027,39899,42422,38811,39546,42891,40362,37672,38194,39074,34176,34343,36583,38909,36815,36283,35013,36936,37418,36810,36141,33442,37627,36220,38547,35971,37922,35153,34910,33962,37145,34966,36411,34744,34126,33117,34054,34548,34140,31374,32963,33581,37744,34593,33947,34241,34713,35225,36278,35688,32998,35211,34905,33044,34458,35029,34784,33573,35103,34672,34547,31585,36117,33706,32679,33990,34154,34964,31555,34127,32023,33886,33807,33186,31793,29528,31805,29307,33272,32683,31546,29677,30360,33147,34210,29868,33112,34460,35029,33603,33128,31497,33301,35265,31030,33097,32422,32240,32944,32578,30545,30068,32665,31699,33815,31929,30671,32086,33439,31305,32130,32704,31759,33165,33610,30404
