2.7992e+05,2.8472e+05,2.7795e+05,2.8232e+05,2.6604e+05,2.7585e+05,2.8134e+05,2.8224e+05,2.8059e+05,2.689e+05,2.761e+05,2.7859e+05,2.8475e+05,2.7284e+05,2.7317e+05,2.7451e+05,2.7234e+05,2.7237e+05,2.7797e+05,2.739e+05,2.674e+05,2.6808e+05,2.7079e+05,2.7592e+05,2.7282e+05,2.7065e+05,2.6366e+05,2.6836e+05,2.7068e+05,2.6857e+05,2.7209e+05,2.6851e+05,2.6538e+05,2.6609e+05,2.6022e+05,2.5924e+05,2.5736e+05,2.6381e+05,2.5249e+05,2.5324e+05,2.5624e+05,2.6089e+05,2.5875e+05,2.5245e+05,2.528e+05,2.5195e+05,2.5068e+05,2.5505e+05,2.5303e+05,2.5818e+05,2.5156e+05,2.522e+05,2.5672e+05,2.4855e+05,2.5117e+05,2.531e+05,2.522e+05,2.4224e+05,2.4962e+05,2.4661e+05,2.461e+05,2.5627e+05,2.4916e+05,2.4409e+05,2.5263e+05,2.4299e+05,2.4794e+05,2.5014e+05,2.4079e+05,2.4328e+05,2.4314e+05,2.4362e+05,2.4669e+05,2.444e+05,2.3675e+05,2.3803e+05,2.4043e+05,2.3327e+05,2.3883e+05,2.3303e+05,2.4225e+05,2.2987e+05,2.4067e+05,2.3155e+05,2.3411e+05,2.2895e+05,2.2904e+05,2.1973e+05,2.2709e+05,2.295e+05,2.2308e+05,2.2312e+05,2.2827e+05,2.1839e+05,2.2761e+05,2.2465e+05,2.1942e+05,2.1966e+05,2.1668e+05,2.1705e+05,2.1918e+05,2.1364e+05,2.1674e+05,2.1445e+05,2.1884e+05,2.1338e+05,2.1166e+05,2.0336e+05,2.0653e+05,2.031e+05,2.0195e+05,2.1087e+05,2.0514e+05,2.0462e+05,2.0214e+05,2.0118e+05,1.9858e+05,1.965e+05,2.002e+05,1.9881e+05,1.9352e+05,1.9809e+05,1.9755e+05,1.9201e+05,1.9408e+05,1.901e+05,1.8934e+05,1.8581e+05,1.8873e+05,1.8967e+05,1.894e+05,1.8524e+05,1.8912e+05,1.863e+05,1.8555e+05,1.8993e+05,1.8873e+05,1.947e+05,1.887e+05,1.8242e+05,1.8653e+05,1.8246e+05,1.7818e+05,1.8151e+05,1.7877e+05,1.7348e+05,1.7812e+05,1.7537e+05,1.7715e+05,1.7612e+05
29684,31117,27867,33043,31178,32402,31385,34776,29848,30255,32540,31688,34185,40584,42599,40400,43955,44175,44906,44955,47052,45964,45646,41454,44475,43053,43473,39366,41263,45046,45624,43074,52771,44654,42929,41413,42796,42769,39679,45325,45788,44378,43306,44924,41033,41471,39452,42968,43747,42907,35394,35678,40964,42152,41088,49465,41827,37869,41159,38748,47812,39648,40966,39108,39305,41765,41418,41653,38310,34938,39784,42029,39487,38971,40295,39592,39052,39220,43244,38343,38671,40882,39085,41836,38747,36704,38021,39304,37654,35886,39857,41264,42430,38003,37596,36609,37705,37119,30731,37269,36526,37953,37391,36288,37550,36762,37366,38371,38599,36022,37786,38765,33193,37064,37352,37914,36293,39853,36786,35516,37005,35370,35108,32296,35842,39071,34417,33553,38944,36275,36452,38226,35732,36316,37946,34983,36081,34996,34494,35951,34073,34888,33462,34101,42595,33134,35371,35882,35662,34425
41074,43402,49708,51124,49431,49882,47967,55013,72202,93227,1.1341e+05,1.4049e+05,1.6171e+05,1.7519e+05,1.8878e+05,1.8768e+05,1.9949e+05,2.0848e+05,2.158e+05,2.1189e+05,2.131e+05,2.2811e+05,2.2291e+05,2.195e+05,2.2916e+05,2.3518e+05,2.2834e+05,2.4592e+05,2.3357e+05,2.4039e+05,2.5065e+05,2.454e+05,2.488e+05,2.4871e+05,2.4291e+05,2.4903e+05,2.4831e+05,2.6497e+05,2.486e+05,2.4415e+05,2.5447e+05,2.7807e+05,2.5423e+05,2.5062e+05,2.536e+05,2.5258e+05,2.5249e+05,2.4184e+05,2.5058e+05,2.4886e+05,2.4801e+05,2.4516e+05,2.4743e+05,2.4469e+05,2.4959e+05,2.5123e+05,2.489e+05,2.4906e+05,2.4563e+05,2.4653e+05,2.394e+05,2.3743e+05,2.5612e+05,2.3392e+05,2.409e+05,2.4486e+05,2.3992e+05,2.5215e+05,2.4204e+05,2.3143e+05,2.3941e+05,2.3648e+05,2.4e+05,2.3513e+05,2.2979e+05,2.3318e+05,2.2704e+05,2.1503e+05,2.3893e+05,2.2927e+05,2.2795e+05,2.1696e+05,2.1576e+05,2.2878e+05,2.268e+05,2.2273e+05,2.2487e+05,2.2578e+05,2.2031e+05,2.1889e+05,2.0706e+05,2.2294e+05,2.1693e+05,2.1726e+05,2.0825e+05,2.112e+05,2.2716e+05,2.1515e+05,2.0464e+05,2.1673e+05,2.056e+05,2.1085e+05,2.0968e+05,2.0078e+05,2.0625e+05,2.0935e+05,2.1314e+05,2.0086e+05,1.889e+05,2.0245e+05,2.0636e+05,1.9592e+05,2.0046e+05,1.9958e+05,1.9842e+05,2.0654e+05,2.0897e+05,1.9875e+05,2.0399e+05,1.9883e+05,1.9838e+05,1.9363e+05,2.0975e+05,1.7848e+05,1.8885e+05,1.9564e+05,1.9515e+05,1.9865e+05,1.9397e+05,1.8841e+05,1.8355e+05,1.9251e+05,1.9228e+05,2.0241e+05,1.9307e+05,1.8362e+05,1.9629e+05,2.0678e+05,1.9155e+05,1.8664e+05,1.8423e+05,1.808e+05,1.8531e+05,1.8636e+05,1.844e+05,1.6739e+05,1.8809e+05,1.8463e+05,1.8713e+05,1.8713e+05
31735,34425,29416,29790,28041,32501,32104,31390,24568,31499,35321,32613,24353,31156,38782,39538,42862,45009,45579,65102,69882,70376,81652,70835,77148,73215,60395,77598,76858,57292,60307,73515,80298,93075,67478,72257,76646,82419,75785,73888,64539,72608,69940,70495,89386,55708,77212,67655,64395,65444,70592,64915,65219,64780,57097,62834,59682,59358,62421,58319,58761,60721,57828,54335,59483,57511,46985,56509,55448,51986,60349,46700,52725,52943,53731,51276,45612,50872,45614,42593,54734,50630,52188,51267,49518,41249,40910,45173,49507,50079,51148,49627,41769,46741,35887,34775,47190,57583,49593,47256,49116,49404,49198,47268,47745,47505,46774,46480,48106,46911,49289,35239,46310,44971,46394,40219,32185,46204,42621,44817,60464,46602,41287,43453,45261,41947,43511,44298,43621,45333,57742,35208,30740,42198,41762,42010,40398,41759,42888,40240,42446,43466,42260,42668,57050,40968,42246,41054,41466,44606
27058,30681,29683,29835,32925,29624,31372,30825,32667,30955,31059,29606,31153,31901,34161,35336,36740,41157,42254,42425,43966,46125,44776,45272,47091,46033,45972,46976,47750,45787,47797,45668,48434,47534,45456,49691,46095,48319,47335,48938,46997,47173,43687,47833,47554,47250,46792,48571,49394,45804,46892,47243,47824,46927,47075,42327,47580,39946,46186,47310,40234,46849,46257,45957,47378,47361,45966,46737,45779,46295,44672,44722,46722,44907,45738,45048,46216,40772,44593,45884,43254,40698,43866,42557,39734,44263,39754,45497,41187,46724,42376,44254,44160,43841,42233,39310,42783,41797,37305,42482,41554,42767,42161,41450,40998,36259,40424,38151,41894,39330,39505,39358,40614,39365,38600,42180,40926,38707,38688,40875,37965,40174,38685,40297,39439,35495,39455,37384,38545,38434,38107,38401,35987,37943,37007,39597,37709,35446,34050,38691,39302,35759,39172,37281,36685,36910,39157,38195,36100,37250
27834,28168,28493,26605,26068,27079,33670,29474,31809,24706,27451,29631,26066,26893,25999,34625,27626,28595,28067,30627,29046,31081,30571,32075,27616,30436,28560,26928,31311,27168,33702,28360,37292,26357,33590,29579,30263,29503,28304,25417,30987,30110,33129,25623,28392,32404,28399,27960,28656,27581,27621,25747,29248,35661,31486,26070,28833,26977,30349,28747,31240,28610,32199,25983,25805,31278,28651,27566,28204,29238,31065,25245,30607,25674,28225,29611,28353,29516,33894,29198,30019,30948,26816,24741,28729,29415,28680,27600,26938,31125,25868,29090,27429,29974,28788,27444,24777,29555,27494,28069,30131,28572,29353,27389,26263,29775,28029,28371,26369,27267,25701,26936,29627,27776,27128,26858,29587,26142,30351,30715,28674,25857,28834,25940,27735,30791,30210,23855,23670,30274,28560,29301,29744,27003,28658,25389,30197,32452,25408,29912,26930,29089,28212,28205,25222,30218,29320,25684,28643,26916
31693,32847,32130,32439,31810,31594,25422,31883,31441,30387,30862,32476,35083,39569,49307,64387,61189,71416,71745,77041,76919,65309,68497,76669,74929,73110,71903,80149,73383,70406,71660,78098,67910,69415,64469,65623,65392,66614,64913,67067,63365,61299,61283,60296,60034,62220,60366,61696,60543,57972,52624,59720,58740,56149,48087,55552,57314,56247,56842,57535,54419,52700,54035,52019,51121,53117,53280,55064,53413,51900,53593,51857,53295,51750,50313,50403,46147,50146,49130,48091,51171,49041,49891,47260,47914,49826,50700,48681,48645,46541,39331,47379,48288,47938,49074,49666,48495,47679,44530,46621,51464,45830,43263,44488,45644,47039,44537,44561,45567,45205,45456,39362,45512,43621,43347,45180,42745,43663,39285,43209,42662,43759,43762,43108,50907,41054,45199,43058,42902,42676,41107,40433,43833,41317,40695,41375,42155,40215,40995,39613,41501,42094,39754,48400,41896,39503,40678,42202,36782,41908
30634,26757,32740,29518,29571,31352,31630,31598,28773,29101,29553,32797,29552,32241,31053,29577,33830,38963,36716,48053,59065,67962,71572,74032,80534,71765,79852,79470,77443,81498,81840,71039,75738,80344,79610,79338,76740,73290,77981,75106,70194,76098,76837,74401,75411,76976,72510,83168,73902,71052,73091,72988,70103,70912,70159,67216,68209,65210,69088,68539,66028,66035,67756,67032,65638,66170,65479,65491,63576,64683,62843,65892,75756,67276,62665,65646,64737,62656,64274,64475,61230,64300,59332,63008,61564,62098,61463,58703,60110,57761,57050,59671,60908,59203,59117,57677,57298,57810,58215,52356,64480,57481,56252,55240,58025,58741,57219,55769,55316,59820,53513,55305,56969,56508,54021,57373,52699,55371,53759,54087,53997,57344,49320,55543,51001,54250,53007,55256,51889,56556,55053,52968,53047,49650,53499,52681,51150,50965,50323,52654,55575,52158,44779,50386,46267,50249,50517,52012,51454,49022
31287,30098,32612,33453,35058,30520,31302,31728,30603,30498,35892,30238,43083,47905,68590,63634,76106,76489,79299,76252,80087,77000,82282,77801,76093,65594,74242,77061,74947,76150,74915,69390,73153,56847,75338,69224,73751,79940,68764,71446,68689,65880,62052,67438,65851,64606,63555,61733,61200,65954,64124,61454,62697,65061,57751,56584,63492,54308,58031,52504,57432,46472,48024,52683,57077,57219,55476,53318,54475,54926,52398,51106,49793,53127,54580,53364,48171,49100,54123,51309,52281,48565,48241,41796,59186,44075,44475,46003,43791,45099,63664,50394,45861,44969,48081,50255,48122,47438,44791,46629,48361,47250,49237,42043,45430,44048,46157,53090,43739,43981,50754,44890,43684,49791,44547,43294,47257,45061,43864,42580,35699,44144,38665,35959,44523,45859,47998,40095,41770,45553,38203,33282,42925,39700,30376,44026,41341,48127,41544,36805,41836,39467,42786,39224,38548,36178,38307,41723,42843,38853
31811,32293,33144,32746,32369,32976,32207,31747,33840,32304,33170,33415,33780,35851,40076,43291,44556,47145,46817,48151,50414,50289,50690,49589,53378,52030,51272,54307,51726,54358,53038,53818,53987,53054,53615,53001,53203,53150,54133,53615,53340,52948,53143,52494,53410,51337,51931,51975,53345,54535,52558,50686,52232,53187,51810,51593,49592,51013,49697,52309,50351,50889,51023,49550,50231,51064,50251,50039,49165,50194,50116,49512,48618,48654,48262,47715,48293,47322,50330,49748,49197,49050,48943,45797,46744,47877,46786,46589,47998,47394,46528,46932,46095,46600,47718,45369,45824,44959,46643,45815,46835,44477,44594,45283,45662,47008,45262,44331,44245,45872,44342,43898,44010,45596,42655,41726,43011,44396,43861,43259,43502,43872,40360,41966,42614,42520,42514,41553,41196,42050,42156,42756,44480,42369,40963,42240,41527,41297,40208,41134,39360,41352,40469,40330,41120,42088,40938,40637,39741,41759
