1.3588e+05,2.7883e+05,3.1715e+05,4.5672e+05,6.2999e+05,7.8579e+05,9.7291e+05,1.3958e+06,1.7294e+06,2.1527e+06
5.9266e+05,5.2879e+05,5.4494e+05,5.643e+05,5.9698e+05,5.5215e+05,5.8647e+05,7.91e+05,9.9829e+05,1.2007e+06
49661,96444,1.0692e+05,1.5358e+05,2.0693e+05,2.6104e+05,3.2966e+05,4.9019e+05,6.4188e+05,9.2967e+05
85697,1.7098e+05,1.9153e+05,2.9147e+05,3.7779e+05,4.5791e+05,5.8935e+05,8.0916e+05,1.0161e+06,1.2923e+06
3.2699e+05,3.0827e+05,3.259e+05,3.3125e+05,3.2282e+05,3.2621e+05,3.2026e+05,4.6377e+05,5.7458e+05,7.191e+05
49715,1.0439e+05,1.1195e+05,1.577e+05,2.1851e+05,2.7942e+05,3.5046e+05,4.9645e+05,5.9731e+05,7.6178e+05
3.5281e+05,3.3947e+05,3.3886e+05,3.3914e+05,3.4209e+05,3.4418e+05,3.385e+05,4.8989e+05,5.5707e+05,7.3346e+05
44139,61799,1.2672e+05,1.5241e+05,2.45e+05,2.5417e+05,3.399e+05,4.6717e+05,5.6199e+05,7.3478e+05
56965,1.043e+05,1.2044e+05,1.5937e+05,2.1165e+05,2.6692e+05,3.4309e+05,4.8468e+05,5.84e+05,7.3197e+05
3.3083e+05,3.3437e+05,3.3341e+05,3.3621e+05,3.2916e+05,3.3304e+05,3.3157e+05,4.784e+05,5.8297e+05,7.3312e+05
46898,98429,1.1418e+05,1.6206e+05,2.136e+05,2.6379e+05,3.3276e+05,4.7169e+05,5.8574e+05,7.3335e+05
1.2376e+05,2.82e+05,2.8716e+05,4.0608e+05,5.6739e+05,6.9034e+05,8.8065e+05,1.2387e+06,1.5189e+06,1.8855e+06
48173,96543,1.1513e+05,1.5451e+05,2.0815e+05,2.5723e+05,3.3117e+05,4.6899e+05,5.8585e+05,7.4144e+05
79960,1.6747e+05,1.9634e+05,2.8182e+05,3.6965e+05,4.6825e+05,5.7499e+05,8.3559e+05,1.0276e+06,1.2917e+06
3.4604e+05,3.4479e+05,3.4659e+05,3.3899e+05,3.3668e+05,3.515e+05,3.4861e+05,4.8993e+05,6.003e+05,7.4379e+05
45153,97702,1.1242e+05,1.6014e+05,2.2025e+05,2.5766e+05,3.3584e+05,4.7163e+05,5.9574e+05,7.5004e+05
48718,1.006e+05,1.1717e+05,1.6468e+05,2.2151e+05,2.6707e+05,3.4488e+05,4.8068e+05,5.9947e+05,7.2977e+05
3.3967e+05,3.2805e+05,3.3797e+05,3.4651e+05,3.4424e+05,3.4689e+05,3.3293e+05,4.8474e+05,6.0557e+05,7.4408e+05
49337,1.0122e+05,1.1695e+05,1.62e+05,2.2077e+05,2.6961e+05,3.4128e+05,4.7819e+05,5.9926e+05,7.5251e+05
25396,34636,30265,38565,46588,49797,3.3784e+05,4.7152e+05,5.9662e+05,7.293e+05
3.291e+05,3.3263e+05,3.2939e+05,3.3418e+05,3.2681e+05,3.2841e+05,3.2891e+05,4.7577e+05,5.8042e+05,7.2961e+05
55204,1.0743e+05,1.3102e+05,1.7016e+05,2.3155e+05,2.8709e+05,3.604e+05,5.0865e+05,6.205e+05,7.5854e+05
50191,93900,1.1257e+05,1.5412e+05,2.1844e+05,2.7012e+05,3.4319e+05,4.6967e+05,6.0013e+05,7.5076e+05
46770,94164,1.0081e+05,1.4672e+05,2.0588e+05,2.521e+05,3.1377e+05,4.6432e+05,5.63e+05,7.225e+05
86806,1.7071e+05,1.9491e+05,2.8642e+05,3.7913e+05,4.8613e+05,5.9094e+05,8.6106e+05,1.0521e+06,1.3053e+06
3.3001e+05,3.1808e+05,3.2925e+05,3.1939e+05,3.1785e+05,3.325e+05,3.1438e+05,4.5701e+05,5.4978e+05,7.0327e+05
46236,92186,1.0943e+05,1.5432e+05,2.1334e+05,2.6043e+05,3.2042e+05,4.7147e+05,5.8127e+05,7.3074e+05
49361,1.0133e+05,1.1326e+05,1.6291e+05,2.1908e+05,2.7049e+05,3.3689e+05,4.7748e+05,5.9653e+05,7.3774e+05
3.2964e+05,3.3318e+05,3.3946e+05,3.2489e+05,3.3569e+05,3.3543e+05,3.303e+05,4.6274e+05,5.9237e+05,7.4788e+05
46447,95145,1.0595e+05,1.4812e+05,1.9261e+05,2.4393e+05,3.0712e+05,4.5129e+05,5.5742e+05,7.0564e+05
3.5626e+05,3.482e+05,3.5253e+05,3.5238e+05,3.6521e+05,3.6713e+05,3.5935e+05,5.1941e+05,6.1177e+05,7.8638e+05
50901,1.0225e+05,1.1215e+05,1.6493e+05,2.1619e+05,2.7595e+05,3.4041e+05,4.8235e+05,5.9977e+05,7.488e+05
76239,1.7402e+05,1.9815e+05,2.8163e+05,3.7386e+05,4.6317e+05,5.9754e+05,8.3345e+05,1.0494e+06,1.31e+06
56965,1.0938e+05,1.2705e+05,1.8423e+05,2.3462e+05,2.9998e+05,3.8167e+05,5.2484e+05,6.5308e+05,8.1239e+05
90677,1.8045e+05,2.0948e+05,2.9435e+05,3.9664e+05,4.9052e+05,6.0992e+05,8.6504e+05,1.0635e+06,1.3321e+06
3.3635e+05,3.3076e+05,3.299e+05,3.2018e+05,3.2673e+05,3.2211e+05,3.2739e+05,4.5641e+05,5.7117e+05,7.2132e+05
46037,76931,1.0614e+05,1.5533e+05,2.0678e+05,2.762e+05,3.2359e+05,4.8597e+05,5.7763e+05,7.237e+05
46243,89960,1.0118e+05,1.583e+05,1.9978e+05,2.4667e+05,3.173e+05,4.3917e+05,5.6003e+05,6.9101e+05
3.17e+05,3.2474e+05,3.2277e+05,3.3204e+05,3.2463e+05,3.0729e+05,3.2397e+05,4.6221e+05,5.6805e+05,7.101e+05
48866,98372,1.2103e+05,1.5547e+05,2.2574e+05,2.4026e+05,3.3436e+05,4.8303e+05,5.9256e+05,7.3782e+05
3.3484e+05,3.298e+05,3.2905e+05,3.2376e+05,3.2185e+05,3.3473e+05,3.3295e+05,4.6441e+05,5.7883e+05,7.2675e+05
