1.4449e+05,3.0976e+05,3.5639e+05,4.8565e+05,6.6784e+05,8.4758e+05,1.059e+06,1.5268e+06,1.9751e+06,2.6124e+06
8.9343e+05,6.2064e+05,7.4901e+05,7.9323e+05,7.7029e+05,7.0721e+05,7.779e+05,1.0151e+06,1.3691e+06,1.7525e+06
57009,1.2244e+05,1.2773e+05,1.9252e+05,2.409e+05,3.0281e+05,3.6694e+05,5.9121e+05,7.4112e+05,9.689e+05
94576,2.0268e+05,2.0722e+05,3.6922e+05,4.5316e+05,5.3845e+05,6.896e+05,9.7777e+05,1.2811e+06,1.7476e+06
3.8644e+05,3.8256e+05,4.6263e+05,3.59e+05,3.9813e+05,3.6483e+05,3.715e+05,5.8688e+05,6.5867e+05,1.0046e+06
54166,1.0959e+05,1.2968e+05,1.7774e+05,2.3745e+05,3.0098e+05,3.8974e+05,5.4228e+05,6.9418e+05,9.0884e+05
4.0434e+05,4.0502e+05,4.1258e+05,3.8335e+05,4.2612e+05,3.9057e+05,3.9359e+05,6.0524e+05,7.3511e+05,9.9255e+05
59390,1.099e+05,1.4143e+05,1.9344e+05,2.6711e+05,3.4436e+05,4.1081e+05,5.9269e+05,7.2508e+05,9.9961e+05
54407,1.1788e+05,1.3645e+05,1.8774e+05,2.5168e+05,3.2445e+05,4.2742e+05,5.8413e+05,7.5141e+05,9.5917e+05
3.9934e+05,3.5794e+05,3.5361e+05,3.553e+05,3.8346e+05,3.6566e+05,3.869e+05,5.7345e+05,7.4788e+05,9.0903e+05
56217,1.161e+05,1.3444e+05,1.8966e+05,2.5761e+05,3.1758e+05,4.0366e+05,5.7633e+05,7.311e+05,9.3456e+05
1.7275e+05,3.5855e+05,3.4179e+05,4.8649e+05,7.1741e+05,8.8645e+05,1.2054e+06,1.7067e+06,2.1099e+06,2.9111e+06
59801,1.313e+05,1.3947e+05,1.9962e+05,2.4558e+05,3.2787e+05,4.0437e+05,6.0985e+05,7.3085e+05,9.1664e+05
90993,1.8654e+05,2.3431e+05,3.1577e+05,4.389e+05,5.4596e+05,6.8831e+05,1.0074e+06,1.2769e+06,1.7293e+06
4.0098e+05,3.9558e+05,3.949e+05,4.0011e+05,3.9702e+05,3.98e+05,3.8784e+05,5.5037e+05,7.0696e+05,9.2988e+05
56002,1.1463e+05,1.3245e+05,2.0265e+05,2.5444e+05,3.0858e+05,4.1557e+05,5.8499e+05,7.3934e+05,9.7119e+05
62507,1.2144e+05,1.2369e+05,1.846e+05,2.5779e+05,3.2467e+05,4.1157e+05,5.6958e+05,7.0486e+05,9.6915e+05
4.0807e+05,4.3245e+05,4.2439e+05,4.3497e+05,4.308e+05,4.2185e+05,4.2711e+05,6.2614e+05,7.7681e+05,1.0255e+06
51824,1.0754e+05,1.2857e+05,1.8437e+05,2.5604e+05,3.0535e+05,3.8071e+05,5.6128e+05,6.8935e+05,8.9535e+05
62744,1.1309e+05,1.324e+05,1.8607e+05,2.3869e+05,3.0376e+05,3.9749e+05,5.8722e+05,7.4474e+05,9.5953e+05
3.973e+05,3.5735e+05,3.5296e+05,3.5548e+05,3.8216e+05,3.6757e+05,3.8574e+05,5.744e+05,7.4956e+05,9.0795e+05
66593,1.279e+05,1.5112e+05,2.0481e+05,2.894e+05,3.3491e+05,4.3439e+05,6.3643e+05,8.1595e+05,9.4078e+05
53072,1.1479e+05,1.1174e+05,1.5888e+05,2.3345e+05,2.9777e+05,3.7604e+05,5.4678e+05,7.2417e+05,9.9312e+05
