ROI name    Roi_1                   Roi_2                   Roi_3                   
ROI area        0.19 cm2                 0.0791 cm2                   0.11 cm2               
user units  mean     std dev  func  mean     std dev  func  mean     std dev  func  
0            493541  223465   no     336068  120889   no     978514  239917   no    
0            491225  224935   no     347659  124897   no     978835  234944   no    
0            514744  228041   no     340032  110509   no     980197  247323   no    
0            510048  232506   no     338294  122837   no     967779  245156   no    
0            510369  237217   no     330922  120552   no     970538  270524   no    
0            516794  247010   no     328608  129173   no     967790  272055   no    
0            516722  250686   no     330341  134117   no     953325  276924   no    
0            517324  251709   no     320870  117845   no     942265  283078   no    
0            517074  250590   no     319155  147041   no     937589  282166   no    
0            514672  259490   no     309479  132351   no     924544  293166   no    
0            511978  258026   no     320274  135307   no     920071  305190   no    
0            517421  269115   no     315823  138451   no     902181  288396   no    
0            520152  262854   no     322595  144223   no     903491  297865   no    
0            517776  263983   no     304889  149031   no     890175  306617   no    
0            510975  263734   no     308528  135677   no     912028  279596   no    
0            498621  250990   no     313460  132596   no     901679  284269   no    
0            499489  246725   no     292375  132168   no     904549  266979   no    
0            491826  233318   no     315807  119105   no     919894  264778   no    
0            482698  227300   no     327438  118140   no     935834  248422   no    
0            490580  217008   no     310860  106483   no     941113  249081   no    
0            480958  224005   no     321656  111794   no     939074  232407   no    
0            474660  218287   no     326690  107418   no     945551  233953   no    
0            480874  209985   no     333725  104125   no     959527  233589   no    
0            485133  206688   no     328857  115490   no     967733  237450   no    
0            488075  221537   no     341841  114316   no     972310  231290   no    
0            488190  224120   no     322647  114002   no     965874  238530   no    
0            493999  236034   no     317901  125280   no     967082  239796   no    
0            500255  232217   no     324191  127574   no     957692  256678   no    
0            506229  244217   no     317866  125424   no     949133  267181   no    
0            509715  247278   no     320792  136511   no     941576  281022   no    
0            503772  243768   no     332452  146391   no     945097  283534   no    
0            512087  254812   no     326902  122220   no     926626  284139   no    
