ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    Roi_5                    
ROI area        0.22 cm2                 0.0967 cm2                   0.19 cm2                   0.18 cm2                 0.0732 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0             598029  104928   no      269681  137736   no      172568   63093   no      177416   84942   no      614882  159457   no    
0             530306  114454   no      225700  110355   no      134293   53721   no      141029   64376   no      513166  168741   no    
0             457665  106446   no      200546   76761   no      120154   59870   no      133495   61639   no      399396  182973   no    
0             365053  103918   no      179712   90113   no      148205   89918   no      151657   64892   no      310568  178262   no    
0             275515   88090   no      199334  118252   no      199667  100642   no      189947   76399   no      227473  165845   no    
0             194183   77267   no      250719  137395   no      256712  108298   no      251737   85501   no      176926  132701   no    
0             142818   54954   no      303107  153663   no      334965  119512   no      323202   88853   no      209609  124694   no    
0             132151   71781   no      379010  137782   no      405496  115415   no      393338   91156   no      276386  141880   no    
0             153522   84462   no      455828  126953   no      476059  117459   no      462541   91082   no      377573  178738   no    
0             204181   92750   no      516118  122648   no      533240  110724   no      519087   99985   no      483099  195675   no    
0             288632  110173   no      575657  101701   no      579640   97425   no      565321  104382   no      573799  182859   no    
0             361802  121689   no      633371   84481   no      623001   94246   no      594283  116657   no      666729  170362   no    
0             448099  115567   no      672464   76264   no      658978   91882   no      617819  129209   no      751943  140988   no    
0             540928  114719   no      688278   66530   no      679318   84623   no      634181  118452   no      787236  117079   no    
0             607621   96413   no      721618   63864   no      704688   81484   no      655137  127854   no      836347  110372   no    
0             666366  106035   no      751297   61329   no      721182   86491   no      671729  133474   no      867240  106514   no    
0             697221   96470   no      765502   61966   no      736520   95852   no      701304  135207   no      870399   96318   no    
0             738277  101185   no      771149   54023   no      754777   88202   no      721773  140870   no      892370   83830   no    
0             761740   98185   no      793383   60399   no      768222   87271   no      728303  146654   no      909448   84189   no    
0             769867  106385   no      819867   56721   no      779385   95057   no      743247  157541   no      929660   88094   no    
0             787954  101540   no      824564   51850   no      806848   92819   no      771041  152634   no      936039   93433   no    
0             817152  107708   no      832153   66317   no      826859   88308   no      769501  159439   no      944885   87032   no    
0             830434  115753   no      852516   62971   no      837405   84451   no      775758  162120   no      966975   74310   no    
0             844499  116747   no      870494   53403   no      844826   91659   no      792307  166343   no      975600   79560   no    
0             864636  114643   no      884167   60801   no      843883   93934   no      791817  164564   no      979685   87624   no    
0             879424  113998   no      873368   63245   no      860194   90706   no      809524  174027   no      991031   75903   no    
0             898730  124084   no      892372   57799   no      873091   90145   no      814257  180232   no      996675   80077   no    
0             893923  126654   no      906886   67624   no      889431   93813   no      831839  159390   no     1004524   82985   no    
0             906622  122124   no      903342   51377   no      889336   96129   no      828097  173151   no     1014809   89241   no    
0             916072  123664   no      917438   70826   no      910390   94763   no      850316  170992   no     1011684   87766   no    
0             921787  129672   no      906117   75341   no      908470   98169   no      855829  179396   no     1038959   92214   no    
0             926990  132133   no      940797   62496   no      928162   95633   no      859717  178722   no     1044545   81615   no    
0             938257  138300   no      937640   73500   no      930885  108732   no      876748  189119   no     1056708   79843   no    
0             957629  129785   no      941051   65696   no      942045  107437   no      882954  188072   no     1077545   86892   no    
0             962181  138769   no      953162   74405   no      951434  103719   no      896716  184493   no     1077520   91965   no    
0             970632  134514   no      956902   80389   no      948790   95768   no      894926  179916   no     1099023  103365   no    
0             982166  134992   no      959940   71852   no      965151  100153   no      909375  196628   no     1093014   81430   no    
0             986075  140335   no      959850   78469   no      966009  108587   no      911917  188056   no     1112982   91781   no    
0             996732  141075   no      958970   70456   no      974994   98295   no      915603  196969   no     1114002   84546   no    
0             997026  131489   no      977034   72730   no      974272  100113   no      912678  187896   no     1110591   91561   no    
0            1004226  139515   no      976365   70781   no      988831  103061   no      921187  194266   no     1120798   85185   no    
0            1020074  137231   no      984066   64537   no      980774   98504   no      922830  196820   no     1137896   98197   no    
