ROI name    Roi_1                    Roi_2                    Roi_3                    
ROI area        0.25 cm2                 0.0637 cm2                   0.20 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0            1157127  97634.5  no     1493949  323635   no     1567914  106757   no    
0             906617  93214.0  no      934203  236114   no     1409554   96332   no    
0             568562  79980.4  no      783065  215719   no     1111115  100614   no    
0             452130  70260.8  no      549949  196848   no      977269   93648   no    
0             301258  61379.3  no      493011  180971   no      795412   83577   no    
0             243379  63931.1  no      317531  153315   no      680618   70975   no    
0             170163  56884.3  no      309424  150699   no      561686   72069   no    
0             137252  50927.4  no      225392  138021   no      484086   58656   no    
0             102141  45176.5  no      220869  137501   no      403961   59375   no    
0              92386  42284.0  no      184763  126503   no      348191   53097   no    
0              67895  40026.9  no      168309  118801   no      284853   43318   no    
0              65429  37099.3  no      148653  116509   no      254437   47812   no    
