ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    Roi_5                    
ROI area        0.19 cm2                 0.0938 cm2                   0.24 cm2                   0.17 cm2                   0.13 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0             471390  107152   no      357391  139322   no      183192   84970   no      319160  114719   no      672445  158321   no    
0             536460   88213   no      416889  145798   no      255539   95171   no      376604   94984   no      701821  149565   no    
0             588980   76424   no      454520  164393   no      332065  101380   no      442800   83683   no      748584  125866   no    
0             640155   64471   no      497194  142767   no      394108  109721   no      481172   81834   no      802496  114494   no    
0             676881   63848   no      538921  145068   no      469409  103211   no      525255   97947   no      828068   96246   no    
0             709242   62671   no      571769  127218   no      524532   93546   no      560350   93021   no      829892   90528   no    
0             719194   61292   no      606341  135327   no      574615   97435   no      588883  102638   no      861422   97823   no    
0             733796   61869   no      624098  124387   no      622885   92298   no      612071  106933   no      878188   88818   no    
0             753419   63495   no      665568  121584   no      643236   85762   no      613576  118544   no      890125   94052   no    
0             781901   67119   no      660295  119851   no      664960   76605   no      630384  110205   no      898820   98727   no    
0             797878   66842   no      693779  112903   no      673137   79393   no      654953  125476   no      898619   93788   no    
0             816696   64598   no      705129  118548   no      701713   80979   no      666820  130570   no      919676   89131   no    
0             828924   77475   no      721564  132261   no      725869   83677   no      673431  127740   no      933764   99139   no    
0             853352   67220   no      735615  142306   no      733374   80990   no      685227  121469   no      936446   96586   no    
0             866552   75098   no      744594  123462   no      744301   79384   no      692503  137570   no      924971   93693   no    
0             864027   79638   no      778217  134573   no      769153   84617   no      706060  148176   no      924762   85704   no    
0             873113   76711   no      762464  137610   no      786674   79984   no      732072  155468   no      951772   87142   no    
0             892582   74787   no      772392  126926   no      802034   89168   no      734192  151894   no      958721   96731   no    
0             894669   84400   no      792766  128303   no      805271   80027   no      736113  152256   no      990361  103968   no    
0             901221   76343   no      797966  142848   no      821486   87970   no      741819  144295   no      990664  103749   no    
0             921978   83027   no      810374  141824   no      837982   88255   no      743860  157196   no     1000208  107060   no    
0             926155   87670   no      819475  130801   no      837369   90102   no      766889  153887   no     1003307   99174   no    
0             932055   75713   no      825614  146441   no      866906   87244   no      768475  153521   no     1013134  105105   no    
0             946265   82816   no      833043  145853   no      867434   91833   no      785809  163481   no     1026430  102665   no    
0             953996   82627   no      842817  146267   no      867443   86995   no      788418  151461   no     1041176  106422   no    
0             968025   80072   no      839528  139862   no      875639   85741   no      793366  168266   no     1046916  100905   no    
0             971106   80871   no      845863  132034   no      898137   87684   no      804109  166581   no     1028857   95737   no    
0             977089   88987   no      861443  143508   no      898461   88911   no      815548  160348   no     1059432  101221   no    
0             984218   81091   no      862983  136283   no      903512   80682   no      803999  173836   no     1066615  105942   no    
0             985178   84524   no      868280  147762   no      922043   89436   no      808367  167727   no     1061854   96779   no    
0             996803   82112   no      861813  141329   no      919091   85977   no      827147  168048   no     1077786  102810   no    
0            1006186   85640   no      871068  147453   no      923971   85029   no      830698  165462   no     1079401  112321   no    
0             997710   80176   no      886012  139236   no      928260   85593   no      833782  172246   no     1101704  103085   no    
0            1009295   90347   no      892370  149098   no      934837   87184   no      838924  169192   no     1098665  110622   no    
0            1014346   93993   no      896645  142225   no      949885   96090   no      842532  188237   no     1094743  102137   no    
0            1011471  108318   no      898460  137367   no      947720  106850   no      831270  208199   no     1107003  104049   no    
0            1033087  108744   no      889369  133264   no      958352  102531   no      832095  196450   no     1094793  103514   no    
0            1042268  129578   no      898766  130267   no      972337  110909   no      838879  190059   no     1093561   99729   no    
0            1026383  103758   no      908609  134810   no      969606  101767   no      876309  191919   no     1103211  121785   no    
0            1036487   99850   no      913709  152926   no      989978  103737   no      847347  176112   no     1098774  109039   no    
0            1034491   99261   no      912375  141707   no      971789  100471   no      860929  186234   no     1118282  102869   no    
