ROI name    Roi_1                    Roi_2                    Roi_3                    Roi_4                    Roi_5                    
ROI area        0.12 cm2                 0.0571 cm2                   0.23 cm2                 0.0923 cm2                   0.25 cm2               
user units  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  mean      std dev  func  
0             303784  115320   no      181043   85881   no      193141  112219   no       99455   49247   no      813487  402246   no    
0             285061  109512   no      236479   94502   no      173620   85722   no      130073   52403   no      717166  387831   no    
0             260545   98918   no      330641   89793   no      197943   81640   no      173517   67937   no      659950  357791   no    
0             274370  122169   no      444728   93825   no      238934   92674   no      222927   62440   no      584226  305211   no    
0             324872  136831   no      523795  112131   no      299754  127163   no      293994   72235   no      556890  270186   no    
0             374379  154764   no      619157  135235   no      372042  160407   no      338514   79182   no      549621  252244   no    
0             461603  158983   no      661341  134587   no      451003  145524   no      408302   76147   no      552119  292967   no    
0             528606  147952   no      710691  123365   no      531595  154218   no      449439   82230   no      566132  364445   no    
0             609868  148674   no      765147  130348   no      608037  163495   no      488038   81013   no      621382  405712   no    
0             685454  138729   no      762781  126441   no      663329  133826   no      540492   85246   no      686187  456379   no    
0             741006  128697   no      798286  113342   no      727435  127250   no      560847   97740   no      756447  486346   no    
0             786079  113787   no      825972  128642   no      760256  127895   no      571578   99312   no      842271  496627   no    
0             827249  116962   no      853246  120078   no      788112  116685   no      604053  100381   no      912179  485809   no    
0             865512  104744   no      860950  130572   no      815587  110243   no      618184   99096   no      974232  473912   no    
0             880147  100653   no      874436  146397   no      834991  119803   no      623801  113420   no     1037830  442746   no    
0             899518  102344   no      880472  126091   no      867786  130921   no      639372  110631   no     1111548  422960   no    
0             925848  114454   no      901988  127581   no      875015  117682   no      653008  121514   no     1173954  379751   no    
0             948785  120870   no      951948  168050   no      906167  125243   no      669989  119744   no     1229675  361706   no    
0             965326  112780   no      949063  146158   no      928481  133729   no      677907  120309   no     1263909  323507   no    
0             987727  116900   no      968799  162905   no      957196  135222   no      693179  137466   no     1304022  301461   no    
0            1015619  126231   no      981607  133234   no      951685  126257   no      727807  136541   no     1340261  286232   no    
0            1039207  134288   no      982406  137245   no      986116  133640   no      720606  119896   no     1362806  277525   no    
0            1030403  122363   no      995691  156241   no      989093  118269   no      727440  141115   no     1381992  262454   no    
0            1045379  127446   no     1033578  149960   no     1018296  129645   no      741642  133925   no     1400130  250989   no    
0            1061261  120631   no     1029523  140548   no     1012003  124409   no      753776  137244   no     1405283  247911   no    
0            1073952  130129   no     1032671  157126   no     1025457  132964   no      781017  129788   no     1436980  244897   no    
0            1094719  127803   no     1059788  142196   no     1044228  135627   no      793388  133806   no     1468477  256520   no    
0            1085674  138823   no     1056047  155989   no     1059406  130747   no      789864  137940   no     1482146  242917   no    
0            1113310  151283   no     1039925  154889   no     1077677  123413   no      801901  139350   no     1485344  237614   no    
0            1111973  142170   no     1095297  166123   no     1079347  142559   no      824121  152360   no     1514518  240396   no    
0            1124123  140018   no     1101985  155064   no     1093866  124054   no      833011  132492   no     1508385  239653   no    
0            1150252  154124   no     1122778  148487   no     1122867  133289   no      838559  166960   no     1532897  242931   no    
0            1148587  155517   no     1118750  175820   no     1125629  138210   no      830244  150179   no     1550869  248567   no    
0            1172407  135452   no     1111472  157824   no     1131429  127224   no      848283  145515   no     1545030  236979   no    
0            1167142  147731   no     1077614  153675   no     1139826  133597   no      868036  143591   no     1566528  236666   no    
0            1179654  142309   no     1148787  179396   no     1149769  134248   no      847087  147666   no     1588128  244027   no    
0            1195583  161003   no     1147831  173927   no     1152010  136232   no      865031  150009   no     1600436  240472   no    
0            1200763  151474   no     1137102  176197   no     1164297  157242   no      859658  156149   no     1617700  242445   no    
0            1209423  163606   no     1162931  238925   no     1170739  192468   no      865313  156440   no     1645751  229629   no    
0            1206254  172815   no     1188475  225930   no     1173574  194091   no      870248  144409   no     1668211  225906   no    
0            1222579  174594   no     1114642  255098   no     1178240  186139   no      857733  169532   no     1651597  270096   no    
0            1221816  161508   no     1150351  217076   no     1161763  164316   no      883319  161549   no     1650920  221865   no    
0            1233308  150273   no     1163819  201958   no     1166031  161599   no      859915  154029   no     1670289  211929   no    
0            1221453  161385   no     1190753  192222   no     1162678  142188   no      871021  155132   no     1690442  192629   no    
